user,tweet
4,"['RT @defjam: 12 years ago today, Kanye West dropped “Can’t Tell Me Nothing” \n\n• 2X multi-platinum 💿💿\n• Nominated for ‘Best Rap Song’ at the…']"
4,['Yessss I’m ready!!!! https://t.co/S507egN3dE']
4,['RT @KKWFRAGRANCE: #KKWFRAGRANCE &amp; the #KKWBEAUTY Mrs. West Collection. The @kkwbeauty Flower Wall Blush and Forever Highlighter are SOLD OU…']
4,['@KIMBlNO Galliano']
4,['Forever Highlighter is SOLD OUT!!! Love Lipstick &amp; Soulmate Gloss are available to shop individually at https://t.co/PoBZ3bhjs8 #KKWBEAUTY https://t.co/qYvnqwf3F0']
4,"['Date Night Glam\nWearing @kkwbeauty Nude lipliner 2, Lipstick Love with Lipgloss Soulmate and powder contour singles in shade 5 and 6\nhttps://t.co/sbyklMQhdE  📷 BackGrid https://t.co/kGOSHlryoR']"
4,['North https://t.co/P1BZZx1rLA']
4,['Chicago https://t.co/RFrwRvJDCs']
4,['💋 https://t.co/yyyIIvY7Ak']
4,['Who has seen \u2066@ParisHilton\u2069 new music video!!! 🙋🏻\u200d♀️🔥🔥🔥 https://t.co/A2i9yN2iId']
4,['Shooting @kkwbeauty Mrs. West Collection was so much fun. Everything is almost sold out. Just a few more highlighters and lip stick &amp; gloss https://t.co/URoukt2hYc https://t.co/ysRbd3ekyI']
4,"['RT @KKWFRAGRANCE: 25% off SITE WIDE for our Memorial Day Weekend Sale! Ends TONIGHT, 05.27 at 11:59PM PST, while supplies last. #KKWFRAGRAN…']"
4,['RT @kkwbeauty: Final hours left to shop our Memorial Day Weekend Sale! Get up to 40% off select items while supplies last at https://t.co/3…']
4,['RT @kkwbeauty: Shop our Memorial Day Weekend Sale! Get up to 40% off select items while supplies last at https://t.co/32qaKbs5YG 🌸 Ends TON…']
4,"['RT @KKWMAFIA: Love Lipstick, Soulmate Gloss and Forever Highlighter are available to shop individually at https://t.co/q4eJ7J63QC #KKWBEAUT…']"
4,['RT @KrisJenner: Wishing everyone a safe and happy Memorial Day 🇺🇸 lets honor those servicemen and women who paid the ultimate sacrifice! We…']
4,"['RT @kkwbeauty: Flower Wall Blush is SOLD OUT!! Love Lipstick, Soulmate Gloss and Forever Highlighter are available to shop individually at…']"
4,['It’s sold out now! All we have left from this collection is a few lip sticks and lip glosses! https://t.co/DYMyh8uU2V']
4,['Omg my mom looking at Scott and saying “how about you used to be weird” 😂']
4,['🙋🏻\u200d♀️ https://t.co/UgPh1yEcpJ']
