user,tweet
7,['É sempre um prazer estar de volta ao meu país. Força Portugal🇵🇹🇵🇹🇵🇹 https://t.co/fAlml2cAkk']
7,"['Amazing residential destination in Dubai, bringing together traditional design with a modern twist @DubaiHolding #MJLiving https://t.co/7vmgk58SoH']"
7,['Partita del cuore 2019 ⚽️🌎🙌🏻 #orgoglio https://t.co/iTTccXrhz1']
7,['💎 https://t.co/Nw1fAUUovl']
7,['Always nice to see you Bro 🏆🏆👌🏻💪🏻 https://t.co/Ww3TeKzL9i']
7,"['Campeão em Inglaterra, Espanha e Itália... Melhor Jogador em Inglaterra, Espanha e Itália... Não há limites para as conquistas quando o sonho se mantém vivo a cada dia que passa!\n\nFino Alla Fine!!! 🏆😀👌🏻 https://t.co/uIjgIdB4XA']"
7,"[""It's always good to share these beautiful moments with my loves ❤️😀👌🏻 https://t.co/YDWvIxtOvS""]"
7,['Very happy to win the second trophie for @juventusfc and my first Serie A championship!🏆 #finoallafine https://t.co/CPWToe8JiJ']
7,['Grazie mister! Abbiamo vissuto un solo anno insieme ma è stato eccezionale perché oltre a essere un grande allenatore sei un grande uomo. È stato un piacere lavorare con te! https://t.co/n2ojUGI84M']
7,['Winning team!💪🏽😅 https://t.co/xNHZTidZRR']
7,['I never hit the gym or the field without my essentials 💪🏼 https://t.co/oBIP01Dov0']
7,['Hi guys! Check out my animated show trailer and the comic book now! 👉 https://t.co/pq8lesrqYI 🔥 #FCBD #FreeComicBookDay #SF7 #CR7 https://t.co/bTe7DzXQRw']
7,['Filho de peixe sabe nadar ⚽️🏃🏻\u200d♂️ 👍🏻❤️ https://t.co/75YbWmUK03']
7,['Getting ready to go dinner out with my new @Cr7Footwear Chicago green shoes!👌🏽 https://t.co/vZPLrgG0VL']
7,['Equipa vencedora ⚽️✌️👌🏻 #TopTraining https://t.co/ogduJ1FtBm']
7,['It’s time to elect Madeira as Best European Island Destination again! Vote here: https://t.co/gJEZT7Tddv https://t.co/chezu4T0fX']
7,['As minhas princesas💕💕 https://t.co/me1xovWXhm']
7,['Excelente trabalho EQUIPA 🏆 💪 #finoallafineforzajuventus https://t.co/sfAlrpAZJD']
7,"['Campioni d’Italia! Orgoglioso di contribuire a scrivere la storia di un club eccezionale, che mi ha fortemente voluto e per il quale sono onorato di giocare. Sono felice. Siamo un gruppo forte e straordinario! Grande Juve https://t.co/0I7obeypz0']"
7,"[""Ready 👍👍👍 let's go https://t.co/Lj4LunD2zC""]"
7,['Hi guys! CR7 Footwear has a new website! Feel legendary with our spring/summer collection!\nhttps://t.co/Goznggp3NW https://t.co/nkI3KvD177']
7,['👌👍 https://t.co/3JX9m5KPqW']
7,['Happy to come back and score another goal in this amazing competition. Well done team! #finoallafine https://t.co/p5tZZF35Wo']
7,"[""Let's go🛫UCL https://t.co/8AQeiHcvhu""]"
7,['Cantores 🎼🎤😜😜🤣 https://t.co/MuQHO71Rvz']
7,['Lunch ❤️❤️ https://t.co/zIYpDno3Jc']
7,['Blessed house ❤️❤️❤️❤️❤️ https://t.co/7rStFA7DLt']
7,['No words needed....... https://t.co/49EdWWGzsZ']
7,['Last session🏊\u200d♂️🏊\u200d♂️🏊\u200d♂️🏊\u200d♂️ https://t.co/2to1cuyJ3f']
7,"['Excited to show you my new Nike Mercurial Superfly 360 LVL UP ⚡\nThis design combines some of the best Mercurial’s I’ve had. I can’t wait to wear it once I’ve recovered from my injury. Until then, you’ll see it on pitch with the newest icons of speed @samkerr1 and @KMbappe https://t.co/IgZOcwdgAL']"
7,['Recordando el gran día que vivimos en @insparya_es . Con la mejor compañía ❤❤ https://t.co/KllWb8g2Y9']
7,['😁 https://t.co/G1BJq5vLel']
7,['Pensar em grande 🇵🇹👍 https://t.co/08MMNZx3w7']
7,['Preparados para amanhã 👌 https://t.co/rhH7XLP9zJ']
7,['Good morning 👌 https://t.co/19GI0ir13n']
7,['Não podia estar mais feliz pela inauguração da minha clínica @insparya_es 😀👌👏 https://t.co/vM2l5eCgIO']
7,"['¡Es oficialmente el inicio de un nuevo proyecto, @insparya_es un proyecto único y que confiamos que va a tener mucho éxito! https://t.co/FqYSFe0r65']"
7,['I always have so much fun developing and selecting the best styles for @CR7underwear !!\nSS19 collection coming soon! https://t.co/JPj0IcZsci']
7,['👍 https://t.co/aperghzXlc']
7,"['El próximo lunes 18 inauguro @insparya_es en Madrid, mi nuevo proyecto sobre salud capilar. Y, si quieres conocerme, solo tienes que entrar en https://t.co/H30zuYtKXj y apuntarte. Puedes ser uno de los 5 ganadores. ¡Suerte! https://t.co/k2w8qls1CT']"
7,['Feliz dia internacional da mulher a todas as mulheres e um beijinho especial às mulheres da minha vida!❤ https://t.co/HqAikEhj27']
7,"['Hoy quiero presentaros @insparya_es , un nuevo proyecto en el área de la salud capilar, del que tengo el placer de formar parte.\nVenimos para revolucionar el sector del Transplante Capilar.\nSe quieres conocer más de nosotros visítanos en https://t.co/EtN7y1nHI4 https://t.co/Ik3ZjouZTM']"
7,['👌👍 https://t.co/QM0EQ3Y3QW']
7,['Partita dura. Vittoria di squadra.  #finoallafine https://t.co/VqcA8FA8lz']
7,['Trabalho feito 👌👍 https://t.co/C5i336jdQ4']
7,['Portugal. É de fibra que somos feitos!!!\n💪🇵🇹⚽🏍 \U0001f9e2 https://t.co/mvu2v39MmE']
7,['Business day 😉❤️ https://t.co/0brkFFN6TT']
7,['È stata una serata difficile. Ora crediamoci #finoallafine https://t.co/RakJhVOxMg']
7,['Focused 👌 https://t.co/jVYS6moHsB']
7,['Avanti cosi ragazzi!! #finoallafine https://t.co/gCUlsFWohi']
7,"[""I'll be wearing my CR7 Fragrance this Valentine's Day...will you? https://t.co/ZUjsUbLVSB""]"
7,['I am using advanced EMS technology as the supplement to my daily workout. SIXPAD is developed on my training theory and great tool to train target muscle. Try my training! https://t.co/Q3oTWnR9u7 #SIXPAD #traininggear https://t.co/Q8mBwRqSLQ']
7,['Winning team🥇simmmmmmm⚽🏆 https://t.co/h7S4no6IxT']
7,['Another great moment on my trip to Dubai. I have something really exciting to share with you soon… stay tuned! #MJLiving @dubaiholding https://t.co/Slt2uAEtay']
7,['Questo è il calcio...\nguardiamo avanti e torniamo subito a vincere! Forza Juve! #finoallafine https://t.co/NRN33VupPh']
7,['Felicidades a la mujer más maravillosa que Dios pudo poner en mi camino ❤ https://t.co/suqPCu6sgi']
7,['👍👌😜 https://t.co/LZtLrflQRx']
7,['😀🛫👍 https://t.co/zC80kfMES8']
7,['Grandi ragazzi! Forza Juve #finoallafine https://t.co/KkdWoN06UC']
7,['Champs👌 https://t.co/awZd9X1TMn']
7,['🤔 https://t.co/6dihmJgakx']
7,['🇵🇹 https://t.co/V5i8aYKnsK']
7,['☝🏽🏆👍🏽\n#finoallafine https://t.co/657o4r6liP']
7,['Contente pelo meu 1 troféu pela  Juventus!! Trabalho feito!!! 🎉🔝🏆 https://t.co/9OiqlmiKdD']
7,"['Festeggiamo insieme il primo trofeo della stagione! Forza ragazzi, avanti cosi #finoallafine https://t.co/5UbknCGLur']"
7,['👍 https://t.co/t03EmvZhVk']
7,['Abbiamo iniziato il 2019 con il piede giusto! Avanti cosi verso il prossimo obiettivo! #finoallafine https://t.co/JOnTZ7gFwJ']
7,['My brand new CR7 Body Spray is perfect for when you are on the go! 💪\n\nAvailable in store now!\n\nTo see the rest of the range visit: https://t.co/jRlzOyv70X  \n#CRFragrances #Grooming #BodySpray https://t.co/nU1aeUMKua']
7,['👌😜 https://t.co/c7L6emKAyU']
7,['Estilo 👌 https://t.co/Ag11kpb0kY']
7,['Team👌👌👌😀 https://t.co/xAsFVOt5un']
7,['Good morning 👌 https://t.co/fAdQPmkO79']
7,['❤️❤️❤️❤️❤️ https://t.co/CmnQeswHlh']
7,['Turim 💪👌 https://t.co/f795w8K6yw']
7,['Spending a great time at this amazing place 👌🏻 @dubaiholding #MJLiving https://t.co/FUsBXkbawI']
7,['2 animals 👏👌 https://t.co/ugwOHpUuom']
7,['What better way to start the new year. Thanks for the appreciation and the care that I have received today.👌🏽👌🏽👌🏽 https://t.co/PJg9XIJlQ1']
7,['About last night!🎆🎉 https://t.co/80SsqTvHsI']
7,['Happy New Year!🎆❤️ https://t.co/3aEF5FM5cD']
7,['Amore mio!❤️ https://t.co/1XwYd5gcyW']
7,['New Year’s Eve at @PestanaCR7 Funchal! https://t.co/EuCjb0dldW']
7,['https://t.co/srFhUzkb12']
7,['Partita dura. Bravi a crederci #finoallafine https://t.co/ei5LwK5xBW']
7,['Feliz Natal! Merry Christmas!🎅🎄❤️ https://t.co/ebr7gFyr1S']
7,['👌🏽 https://t.co/5VSJSaB6qY']
7,['No hay obstáculo que con esfuerzo y dedicación no puedas superar. Vente a entrenar con nosotros! #CR7CrunchFitness #cr7 #gym https://t.co/HRNZsK7KHf']
7,['My new game is here! Now you can score goals against your friends! Challenge them in game and let me know who wins! Download for free now (https://t.co/uEvkwvnqme) #PlayLikeCristiano https://t.co/E2xiiMkUfu']
7,['Had so much fun on set yesterday!!👌🏽 https://t.co/XC6oLYp6ch']
7,['Ballin!🤣 https://t.co/0NTUFzYzMb']
7,"['Vittoria importante, traguardo storico...5000 volte Juve! #finoallafine https://t.co/FjuxML6K2Y']"
7,['About last night❤️❤️ https://t.co/bj0P1sOfyk']
7,['Parabéns 👌 https://t.co/zKJYVJz43m']
7,['Grande vittoria!💪🏽 https://t.co/Q6uNmN5j0h']
7,"['Rain in Moscow tells the inside story of @ManUtd’s epic 2008 Champions League win. By watching #RainInMoscow you are supporting the Edwin van der Sar Foundation, which helps those affected by brain hemorrhages and other brain damage. Watch now: https://t.co/c5FSx7hdNx https://t.co/mk0IjqlD0F']"
7,['👊🏽✌🏽 https://t.co/1wM2NS3PZd']
7,['Great team effort. Important win.#finoallafine https://t.co/yf5mhVYSYb']
7,"[""Let's go 👍🔝 https://t.co/Q4gbFJmsAL""]"
7,['Ready for tomorrow👌 https://t.co/Bv13P1dZ8Z']
7,['⚽ https://t.co/2Bddgejwt6']
7,['Happy to have helped the team on another important win!👍🏽⚽️ https://t.co/kH60tafhxi']
7,['👌👌👌👌👌 https://t.co/pHqwCuZMm4']
7,"['❗️ Hey! ❗️ Head over to my see my CR fragrances range this Black Friday, there will be a surprise waiting!\nhttps://t.co/ntmqRKqrHe\n#CRFragrances #Fragrance #CR7 #BlackFriday https://t.co/6sxZltlYyQ']"
7,['🤔 https://t.co/c9jmv8hueQ']
7,"['Mais um jogo rumo ao objectivo. Boa sorte, malta!👍🏽⚽️ https://t.co/PWNJZzDdaN']"
7,['Focado👍👍👌 https://t.co/phsHFFj9ca']
7,['Getting my head into the game 😜 ⚽\xa0\xa0#CLEARMen #BeYourOwnChampion https://t.co/eqgw2gVi5T']
7,['Back on track⚽ https://t.co/1CNe0jvibh']
7,['About last night! Amazing dinner at @ZelaRestaurants 👌🏽🔝 https://t.co/nqGRF7f5h4']
7,['⚽ https://t.co/KbGlg46EWJ']
7,"['Happy birthday, dear princess! One year of bliss! Love you!👏🏽🎂❤ https://t.co/gx7l6pnPqy']"
7,['👍🏽💪🏽\n#finoallafine https://t.co/sZfHa4QZvP']
7,['👍 https://t.co/1uz8BtvUfn']
7,['👍🏼 https://t.co/aBZSSclIIn']
7,"['Stima, affetto, vittoria! Grande Juve! #finoallafine https://t.co/jJx4lB6IcJ']"
7,['Participe com um donativo no Peditório a favor da Liga Portuguesa Contra o Cancro. O Peditório Nacional decorre até 4 de novembro através da colaboração de milhares de voluntários que sairão à rua em todas as regiões de Portugal. https://t.co/AGDgMxpLSs']
7,['👍👍👍🔝 https://t.co/jlfcHtarF5']
7,['Having fun on set! Check out the classic styles\non https://t.co/6wNnolthcq https://t.co/4KPHt1mwk6']
7,['Happy Halloween to everyone!!🎃👻 https://t.co/0x8sPgSHht']
7,['Can you guess where am I?#pestanacr7 #cr7 @PestanaCR7 https://t.co/ilWCjCZ6Qi']
7,['👌👍 https://t.co/xul4qdmS55']
7,"['Uno per tutti, tutti per uno! #finoallafine https://t.co/LY0YHlM96o']"
7,"['A great coach and above all a wonderful man. Taught me so many things inside and outside the pitch. Great to see you in good shape, Boss! https://t.co/Ql4dcuJvCW']"
7,['Thanks for the warm welcome. Always feel at home here. https://t.co/Tr5gny5Z5A']
7,['Ogni partita insegna qualcosa...ora concentrati sulla prossima.💪🏽#finoallafine https://t.co/HkBb9tWnMv']
7,['👍 https://t.co/MRulQXg9va']
7,"['So happy for my island! Vote for Madeira, for sure the best island in the world!!\n\nVote here: https://t.co/CLqiBfyb2d https://t.co/dQT5WQkTgt']"
7,['😎 https://t.co/aoXfSdEkyT']
7,['😍 https://t.co/gnNmGpGVxq']
7,['Mis amores ❤️❤️❤️❤️ https://t.co/1GBDrCWG6b']
7,['👌👍 https://t.co/GpY3fWrPc3']
7,['Boa sorte família!👍🏽🇵🇹 https://t.co/3bZfdhXM4j']
7,"['Avanti così, tutti insieme #finoallafine https://t.co/EJdydnSDKj']"
7,['My clear conscious will thereby allow me to await with tranquillity the results of any and all investigations.']
7,"['I firmly deny the accusations being issued against me. Rape is an abominable crime that goes against everything that I am and believe in. Keen as I may be to clear my name, I refuse to feed the media spectacle created by people seeking to promote themselves at my expense.']"
7,"['Aguardarei com tranquilidade o resultado de quaisquer investigações e processos, pois nada me pesa na consciência.']"
7,"['Nego terminantemente as acusações de que sou alvo. Considero a violação um crime abjecto, contrário a tudo aquilo que sou e em que acredito. Não vou alimentar o espectáculo mediático montado por quem se quer promover à minha custa.']"
7,['Complimenti ragazzi per un’altra importante vittoria! #forzajuve https://t.co/um9zihs1yp']
7,['Grandi ragazzi. https://t.co/lEamsy4b6n']
7,['A legacy built on dreams 👍⚽ \nMy new Chapter 7 ‘Built On Dreams’ #Mercurial is out now at https://t.co/F9ISEcs3Pr\n—\n#Nikefootball #BornMercurial @nikefootball https://t.co/41lOD6fi3A']
7,"['Un’altra importante vittoria! Avanti cosi ragazzi, tutti insieme! #finoallafine https://t.co/sDcLQlAimG']"
7,['Excited to continue my legacy in the new @nikefootball CH. 7 “Built on dreams” Mercurial. 💪🏽\n#nikefootball #bornmercurial #mercurial https://t.co/LipUBWM8we']
7,['Focused for tomorrow 👀 https://t.co/wv0fP3vW3s']
7,['Thanks @EASPORTSFIFA for the World’s First copy of #FIFA19 🔥 Come and join me in the Game https://t.co/q31AiIsZsa']
7,['Sono molto felice di aver segnato la mia prima doppietta con la maglia della Juve e soprattutto di aver contribuito a questa importante vittoria della squadra!👍🏽⚽️⚽️ https://t.co/Hgk1kz0Xww']
7,"[""Let's go! Download the demo now 👉https://t.co/SvXGmVj0J4 #FIFA19 @EASPORTSFIFA https://t.co/bTxOAdmUzw""]"
7,['Always on the ball 😉 #CR7Underwear FW18 campaign out now! New styles on https://t.co/RCLtRbCAT7 https://t.co/2D3ci3O5gz']
7,['Feeling good !! Let’s go 👌👌👌 https://t.co/KcECAuFlvY']
7,"['Como dizem os meus parceiros, de volta à realidade 😅trabalho feito 👌👌👌 https://t.co/wWPSlRn8uw']"
7,['Vitamina D 👀👁💕🏊🏼\u200d♂️ https://t.co/toRHZo9mqR']
7,"['👌semana top de trabalho,equipa ganhadora🙌🙌🙌🙌🙌🙌simmm https://t.co/69xdLESZyP']"
7,"['Desta vez a apoiar por fora mas sempre convosco. Temos objectivos pela frente. Vamos, família!🇵🇹 https://t.co/OAy0ZFpFYP']"
7,['Two words only: HARD WORK! https://t.co/sqEB0CULbP']
7,['Work done 👁😘👌🚗 https://t.co/L8oWKMWBfX']
7,['Back on track👌blessed💫 https://t.co/0cR7r54O3b']
