user,tweet
3,['Now this is some good news. https://t.co/ft7Q8XpwI0']
3,['@Mariska ❤️']
3,"['The weather isn’t great in Philadelphia – please stay safe. We love you, Philly! @JonDorenbos, @rhyshoskins &amp; @iamjeanniek were wonderful. Consider me a @Phillies superfan. https://t.co/5yVZuIXlZp']"
3,['This is why I love #AGT. https://t.co/PzhaNdzyHP']
3,"['I can’t believe I missed this @2Chainz performance, but I’m very glad it’s on @ellentube! https://t.co/fnlGL58PnK']"
3,"['@Phillies #Philly, you still have time to come! You do not need a ticket to the game. We’re right outside the stadium with lots of surprises.']"
3,['Thomas Middleditch told my guest host @iamWandaSykes about his plane and the new #GodzillaMovie. https://t.co/EVBokIhxL6']
3,"['My ""Bachelorette Recap Show"" is back with another recap of @AlabamaHannah’s journey! #TheBachelorette @thezenor @tracysgold @coreypalent https://t.co/pdPKcA7dJz']"
3,['RT @JonDorenbos: Let’s go Philly! Here at Phillies stadium now.  Come now and have a chance to win a sick new ride! @TheEllenShow https://t…']
3,"[""I love playing “Oh, Straight People,” but I love @iamWandaSykes' game “Oh, White People” even more. https://t.co/M8WpHSTmGe""]"
3,"['@Phillies My Executive Producer @EdGlavin is a big @Phillies fan. Take a photo of yourself at Citizens Bank park, and tag Ed. He’ll be so excited.']"
3,"['RT @TheKalenAllen: Listen up, don’t say I didn’t tell you because I did! But, if you live in Philadelphia get down to Citizens Bank Park AS…']"
3,"['@Phillies Philly! My show is in between the intersection of Phillies Drive and Citizens Bank Way. You still have time to get here, galoshes and all! @Phillies']"
3,['Happy birthday to the incredible @LaverneCox. The world needs more of you.']
3,"['.@iamWandaSykes asked Thomas Middleditch to do his best job selling this item that he couldn’t see. I love when we play ""Pitch Please."" https://t.co/hVDv0RuwGv']"
3,['@iamwandasykes ❤️']
3,['Who’s the biggest @Phillies fan? Grab your rain boots and head over to Citizens Bank Park by 4PM if you want to be on my show.']
3,"['Jasmine’s class singing ""Old Town Road"" has been tearing up the internet. @iamWandaSykes did a wonderful job surprising her. https://t.co/8QdzqxtA7i']"
3,"['.@iamWandaSykes is hosting my show today, and it’s fantastic! https://t.co/9ZzV5WvsFk']"
3,['My show is coming back for 3 more years! That means 3 more years with these nutjobs. #EllenOnTheGo @EdGlavin @andylassner @MaryConnelly @kevinlemanII\n\nListen here: https://t.co/TZxLrpfSU2 https://t.co/a8kqrw65Hm']
3,"['Gillette, this is nothing short of incredible. https://t.co/jGS1962lh2']"
3,"['I heard @WillaAmai’s music, and I immediately invited her on my show. She is amazing. https://t.co/3QdwM79nGx']"
3,['I hope you ride like you ski. @guskenworthy  https://t.co/UxXXTeomEg https://t.co/aN3UPxa7Jm']
3,['.@AliWong is hilarious... especially with her face in a plate of Fruity Pebbles. https://t.co/Vrc0e54fhx']
3,"['I’m glad @BeePrinsloo made time to watch my comedy special, considering everything else going on in her life. She’s a true friend. @adamlevine @adamlevine @adamlevine https://t.co/w5PuLu9WUO']"
3,"['If you know how to say “Schuylkill,” then you’re probably ready to be on my show tomorrow. Rain or shine, see you at Citizens Bank Park at 4pm, Philly! @Phillies']"
3,['@WillaAmai ❤️']
3,['This teacher deserved something really incredible. What a coincidence it’s Million Dollar May. https://t.co/K4AKddUwqK']
3,['I can’t imagine a show making you feel any better than this. Please enjoy the first episode of #DoGoodDaniels. #ThanksSponsor @DoGoodDaniels https://t.co/F3ozcP1LXC']
3,['.@AliWong taught me what a GILF is. https://t.co/AbBKOeS5CR']
3,"['I’m a big fan of David @Letterman. It was an honor to be on his @Netflix show, even though he didn’t introduce me. https://t.co/nWv9Adc4OH']"
3,"['Philly! Pack up your cars, drive home from down the shore, my team is coming to your city on Wednesday. (My executive producer told me to say that. I won’t mention names. @EdGlavin)']"
3,"['It’s #MemorialDay! When you’re done shopping for a new mattress, you can save 20% in The Ellen Shop. https://t.co/PeXDMNmVcF https://t.co/QxPWNIuccm']"
3,['Sending love to everyone who has served and are serving our country this #MemorialDay. https://t.co/cIRvUVadnQ']
3,"['Poor, sweet Joel. Nobody expected @SnoopDogg to throw this well... or this hard. https://t.co/dkdPKZbjdL']"
3,"['I didn’t want you to miss a minute of my interview with Will Smith, so I put it all here. You’re welcome. https://t.co/qsABdpAJPO']"
3,"['Happy birthday, Ma! @octaviaspencer']"
3,['You’re not gonna want to miss this @TheKalenAllen Reacts. Unless you’re chicken. #OMKalen https://t.co/iLZWtQasQ4']
3,['@SnoopDogg Come back as soon as you possibly can.']
3,"['Well, that kept them busy for an hour. @ellentube https://t.co/UgWNTEZyER']"
3,['Going to Rwanda was a trip I waited my whole life to take. This banana split outfit is a costume @AndyLassner has waited his whole life to wear. @TheEllenFund https://t.co/9ggal8zqkm']
3,['The trick to great parenting is patience. https://t.co/myiuvfFxrK']
3,['I gave the Daniels Family a half a million dollars to give to deserving people. We can watch how they spent it together. Don’t miss the premiere of @DoGoodDaniels on Tuesday! @ellentube https://t.co/oQPh3akozH']
3,['I wasn’t expecting to give a car away this fast. This was crazy. @JustinVerlander @Astros #AstrosOnEllen #ThanksSponsor https://t.co/5e8GpNbhWl']
3,"['.@SnoopDogg was here, and I’ve never seen my staff eat more chocolate chip cookies. https://t.co/3PqJUKGrN6']"
3,['.@SnoopDogg was not playing. https://t.co/0BJH06vmNW']
3,['Taiwan is now the first Asian country to allow marriage equality. Let’s celebrate every step in the right direction. https://t.co/RXLarW5TJO']
3,['.@official_tWitch and @LoniLove met some incredible animals on my show while I was out. I was wondering why there was sawdust in the bathtub in my dressing room. https://t.co/DdIfbil0vd']
3,"['We’ve been posting a lot of fun, never-before-seen moments on my @Spotify page. Have you seen it yet? #ThanksSponsor https://t.co/XsQ7nJWBSu']"
3,['.@LoniLove has a new love. @official_tWitch https://t.co/V9HK9OEdCM']
3,"['.@official_tWitch and his family are so adorable, I sent them traveling around the country in an RV for a new digital series! This is gonna make you smile. @Allisonholker @ellentube https://t.co/bu3ibpbqVM']"
3,"['.@official_tWitch played a new game called “Do You Think They Can Dab?” As usual, he was very good at it. https://t.co/VBCp6cxDkV']"
3,['This is what I miss when I’m out? 😡 https://t.co/MiYnBwp3Tn']
3,"['I love Philadelphia, and I’m sending my team there next Wednesday. Be ready, and tell us why we should meet you. https://t.co/wjRcETgHoB']"
3,['I got my nose. Did you get yours? #RedNoseDay #NosesOn https://t.co/unTLzjxDFG']
