user,tweet
8,['I’ve seen the future - and it is #BathtubPants https://t.co/YJ8mn7JbYi']
8,"[""A recap of @RealDonaldTrump's trip to Japan &amp; his bizarre “defense” of  @JoeBiden... https://t.co/BqAr1yvGlb""]"
8,['We put young people on the street to the ultimate test - can they tell time? #CanYouDoIt https://t.co/6BmyEP04b6']
8,['Happy birthday to my life partner and stylist @adamcarolla https://t.co/YaHaWwCQgd']
8,"['Remember and honor the men, women and families whose sacrifices made America great #MemorialDay']"
8,"[""Our #1 movie critic Yehya previews @Disney's #Aladdin... https://t.co/LSwSvBSdwH""]"
8,"['.@RealDonaldTrump prepares for his trip to Japan &amp; #RexTillerson is ""dumb as a rock""... #achomlishments https://t.co/ohfyhEm6yh']"
8,"[""A recap of the backstage fun from Wed. night's #AllInTheFamily &amp; #TheJeffersons #LiveInFrontOfAStudioAudience special &amp; my talented substitute @LenaWaithe... https://t.co/DjNE2lTNYx""]"
8,"[""RT @BillBriouxTV: If you missed @jimmykimmel's Live retro reboot of #Allinthefamily and #TheJeffersons, @ABC is repeating the 90-minute all…""]"
8,"[""We're moving on up TONIGHT @TheNormanLear’s #AllInTheFamily &amp; #TheJeffersons LIVE on #ABC with @IamWandaSykes @AnthonyAnderson @IamJamieFoxx #EllieKemper @WoodyHarrelson @MarisaTomei @KerryWashington @IkeBarinholtz @Tobolowsky &amp; many many more! 8|7c https://t.co/bBO0AjvZV0""]"
8,['Property of Archie Bunker... watch #AllInTheFamily &amp; #TheJeffersons LIVE tonight on #ABC 8|7c https://t.co/JgAIlz7Asd']
8,['Hodor has a new job... #KathieLeeAndHodor #GameOfThrones @KathieLGifford https://t.co/D4nLl7HwDI']
8,['The #SpaceForce is back to battle dreaded space pirates at the command of Admiral @TedCruz... @Fred_Willard https://t.co/cNZnBID789']
8,"['Will Smith on playing #Genie in the new #Aladdin, turning 50 &amp; risking his father in law’s life... https://t.co/T8RtAzc93n @JadaPSmith']"
