user,tweet
1,['Our motivated students make me believe America’s best days are still ahead. Thank you to Mayor @Mike_Rawlings and @SPARKDallas for a great afternoon. https://t.co/vqKIVQu7I4']
1,['RT @Mike_Rawlings: Thanks to special guest @JoeBiden for joining me to send off our @Mayorsinterns to their jobs this summer https://t.co/z…']
1,"[""We had a great first day in Texas! Thank you to @rweingarten and @AFTunion for the discussion on how we improve our education system. It's time we increase teacher pay and ensure that no child’s future is determined by their zip code, parents’ income, race, or disability. https://t.co/qnghcHg2Y9""]"
1,"['RT @DrBiden: Our best policies don’t come from politics, they come from classrooms. \nThere is nothing more critical to the future of this c…']"
1,"['There is no doubt in my mind that if we take these steps, no nation on earth will be able to match the United States of America.\n\nTo read more about our plan, head to https://t.co/d1o4WnDczV.']"
1,"['Our children are our future, it’s time we start investing in them from birth. https://t.co/WkDxxamJlT']"
1,['It’s our responsibility to provide every middle and high school student a path to a successful career. https://t.co/SlVRJSuw68']
1,"['In America, no child’s future should be determined by their zip code, parents’ income, race, or disability. https://t.co/Q43YWyq6K8']"
1,['We must invest in our public schools so students can grow into healthy adults and educators can focus on teaching. https://t.co/f6xHzfTq8o']
1,['It’s time we give our educators the pay and dignity they deserve. https://t.co/Hzhr7jZF4t']
1,"['Our plan will increase teacher pay and provide them with the support they deserve. We’ll invest in all children from birth, so that regardless of their zip code, parents’ income, race, or disability they are prepared to succeed in tomorrow’s economy.']"
1,['RT @AFTunion: WE’RE LIVE! Watch the #AFTVotes town hall with former Vice President @JoeBiden and @TexasAFT members now. \n\n📺: https://t.co/y…']
1,"['I’ve seen firsthand how hard teachers work with little support and few resources. We’ve got to do better. That’s why today, surrounded by America’s teachers, we laid out our plan for educators, students, and our future: https://t.co/d1o4WnDczV. https://t.co/6UxCx8bvjb']"
1,['Teachers like Ronniece are not only educating our children — they’re building the future of our country. https://t.co/Jr1Qf84sfq']
1,"['Every #MemorialDay, Jill and I remember those who made the ultimate sacrifice in service of our nation. Our troops are the heart, soul, &amp; spine of America—may we never fail to honor the memory of those who have fallen and ensure their spirit lives on in both our words and deeds.']"
1,"['Everybody knows who Donald Trump is, we have to let them know who we are. We choose hope over fear. Truth over lies. And unity over division. https://t.co/X2eLN3xe7M']"
1,"['I’m running to offer our country a different path. Not back to a past that never was, but to a future that lives up to our founding ideals and fulfills our true promise as a country. If you’re with me, join our campaign today: https://t.co/gnaFCACYrW']"
1,"['Across the country, too many families are being left behind. We’ve got to rebuild an inclusive middle class where everybody — regardless of race, gender, religion, ethnicity, sexual orientation, or disability — gets a fair shot. https://t.co/KXmcK0tluD']"
1,"['With so much happening on the campaign, we want to make sure you’re up-to-date on the latest news. Text JOIN right now to 30330 to make sure you don’t miss a thing!']"
1,"['Let me make one thing clear, the promise of this nation will not be extinguished on my watch. https://t.co/2v21dxil7K']"
1,['I can promise you this: I will do whatever it takes to make progress on the issues that matter most. https://t.co/Ta7066wGlB']
1,['RT @TeamJoe: From tanks to tees — #TeamJoe has got you covered for all things #Pride! Head to https://t.co/ZXK3zwPphr to find everything yo…']
1,['I know how to make government work — not because I’ve talked or tweeted about it. But because I’ve done it. https://t.co/gHn7DJP4pO']
1,"['RT @DrBiden: Again and again people have said to me, “Joe is the one who can move us forward—Joe is the one who can bring us together. We n…']"
1,"['I’m proud to stand with @SEIU and workers across the country today in the #FightFor15. We must restore the dignity of work and ensure everyone’s treated with respect. That starts with raising the minimum wage to $15, strengthening our unions, and creating safe work environments. https://t.co/Df9rUJe6Ky']"
1,"[""Over the last year, six children have tragically died in US custody at the border. It’s unacceptable. It’s not who we are. And silence is complicity. It’s on all of us to stand up and speak out. America is a nation of immigrants. We must guarantee everyone's treated with dignity.""]"
1,"['On Saturday, we officially kicked off our campaign in Philadelphia — the city that brought our nation together over 200 years ago. I’m running for president to unite our country, because when we come together and act as one America there’s nothing we can’t accomplish. https://t.co/syRNWo5c6i']"
1,"['In the 25 years since we passed the Violence Against Women Act, we’ve made great strides in protecting women from abuse. But the latest reauthorization is being held up by the @NRA. It’s outrageous. This shouldn’t be a partisan issue—the Senate should pass the #VAWA immediately.']"
1,['Our politics today has become so mean and petty — it traffics in division and our president is the divider in chief. This is not who we are. https://t.co/M8geqIO5P0']
1,['We were born of an idea that every single person — no matter where they come from — can achieve anything if they work at it. https://t.co/uczQ2fBRM6']
1,"[""That’s why I’ve spent my whole career fighting — and I will continue to fight — like hell so that no one ever has to make that walk again.\n\nIf you’re with me, I hope you'll join my campaign and chip in what you can: https://t.co/JUJoxV4KiD""]"
1,"['My dad had to make that walk in Scranton, Pennsylvania. It wasn’t until I was older that I realized how hard it must have been for him.\n\nBut he was not alone. This story isn’t unique to the Bidens. Too many people around this country have had to make that walk.']"
1,"[""And he doesn’t understand that the longest walk a parent can make is up a short flight of stairs to their child’s bedroom to say, honey, I'm sorry. We have to move. You can’t go back to your school. You won’t see your friends because Daddy or Mommy lost their job.""]"
1,['Trump doesn’t understand the struggles working folks go through. He doesn’t understand what it’s like to worry you will lose the roof over your head. He doesn’t understand what it’s like to wonder if you’ll be able to put food on the table.']
1,"['Yesterday, Trump tried to attack me at his campaign rally by saying I abandoned Pennsylvania.\n\nI’ve never forgotten where I came from. My family did have to leave Pennsylvania when I was 10 — we moved to Delaware where my Dad found a job that could provide for our family.']"
1,"[""States across the nation are passing extreme laws that violate a woman’s constitutional right to choose. These bills are a blatant attempt to overturn Roe v Wade. It's wrong. It's pernicious. We must #StopTheBans and ensure this choice remains between a woman and her doctor. https://t.co/J4FL9nQgol""]"
1,"[""Thank you to everyone who joined us in Philadelphia, attended watch parties in all 50 states and Puerto Rico, and tuned in across the nation. We're just getting started. I know if we work together, there's nothing we can't do. Sign up to join us: https://t.co/gnaFCACYrW https://t.co/EL4OSyW1NI""]"
1,['Thanks so much for following along this afternoon! Follow @TeamJoe to stay up-to-date on everything happening on the campaign. #TeamJoe signing off!']
1,"['It’s time we pick our heads up, come together, and remember our best days are still ahead. #TeamJoe https://t.co/Ke9vCO1aBD']"
1,['America has stood as a beacon of hope around the world for generations. #TeamJoe https://t.co/cFPN8D8qDW']
1,"['Joe helped make government work before, and he’ll make it work again. #TeamJoe https://t.co/E5vA58zhcL']"
1,['At the core of our campaign is a simple idea: we are at our best when we’re one America. #TeamJoe https://t.co/92bQIcV7wp']
1,"['We choose hope over fear, truth over lies, and unity over division. #TeamJoe https://t.co/rg0wC4irnC']"
1,['It’s up to every generation to do the work to protect and perfect our democracy. #TeamJoe https://t.co/X7YlONYEkF']
1,"['Joe introduced one of the first climate change bills in the Senate and has been at the forefront of the fight ever since. As president, he’ll take aggressive action to protect our planet for future generations. #TeamJoe https://t.co/8gADghxGuw']"
1,"['From ensuring everyone has quality, affordable health care to action on climate change — everything is on the line in this election. #TeamJoe https://t.co/hUHBwEpd6y']"
