user,tweet
5,['RT @LJFamFoundation: We’re officially entering Summer and there’s a lot going on for our @IPROMISESchool &amp; #IPROMISE Program students! Keep…']
5,"['RT @IPROMISESchool: There is no I in TEAM, and our students most definitely know… the more teammates you have, the more the #IPROMISE famil…']"
5,"['RT @IPROMISESchool: Music Icons🎤, TV Hosts🎥, and Movie Directors🎬 have made their way down… to check out IPS and see the changes we’ve brou…']"
5,"['RT @IPROMISESchool: Year1️⃣ is done, and it’s amazing to see how far we’ve come‼️\n\nProgress is showing, and our family is definitely growin…']"
5,['@BlazePizza @Natestockings Can’t ever go wrong with the @blazepizza move!! 🔥🍕']
5,['@JimmySpencerUN CONGRATULATIONS Jimmy!!! 🙏🏾']
5,['@RomeTrav Every pass Bryce threw was bad! 🤣🤣🤣🤦🏾\u200d♂️']
5,['@RomeTrav Toronto has home court bro! Game 4 in Cali. You go to Toronto for game 4 you’d be watching it in Jurassic Park']
5,['@pr_RWTW you should have seen the one he missed down the lane on the break. He getting crazy out there! Lol https://t.co/YRhIQ4AfP3']
5,['@CuffsTheLegend @djstephfloss You better not put that! 🤣🤣🤣']
5,['Welcome back Judy!!! https://t.co/pGZdo7bjDo']
5,['Congratulations lil bro!! Proud of you man @CamKnows_ ‼️‼️‼️‼️‼️ https://t.co/NTlCE68Gcw']
5,['🗣Gang Gang!! 🙏🏾👑 https://t.co/X0D7QMrbYg']
5,['RT @RichEisenShow: .@realchriswebber pounded the table for former #FabFive teammate Juwan Howard to be the next @umichbball head coach...an…']
5,['Man WHAT!!!!?? Absolutely the right choice and i hope it becomes a done deal ASAP!! One of my favorite people I’ve ever met at the age of 16 and been around since then. 🙏🏾 https://t.co/hdmF60odnm']
5,['WOW ‼️‼️‼️ 1 BILLION meals! Salute 🙏🏾 to @Walmart @FeedingAmerica and everyone across the world who contributed to this incredible accomplishment 👏🏾  Let’s keep it going 💪🏾 https://t.co/kzJymLet6L']
5,['Gotta be the Ladder!! 💪🏼💪🏾 @weareladder https://t.co/dhvydgi11R']
5,['Happy Birthday brother!! @channingfrye 🙏🏾']
5,"['RT @rod_strickland: You can’t hide from competition forever. At some point in time it will come down to how focused you are on basketball,…']"
5,"['RT @Walmart: A chance to partner with @kingjames? That’s a no-brainer! Our journey starts with investing in education, fighting hunger, and…']"
5,['SO SO SO AMAZING‼️‼️‼️ Truly One of a Kind 🐐 https://t.co/Edcd9QTpwd']
5,['#4 👀 Beautiful.']
5,"['Yesssir!! More than just shooters in that household @MikeMiller_13!! They forget you was a leaper in your day too, I didn’t. Mason I see you nephew!! Sheesh 🔥🔥🔥😱 https://t.co/rvbPKSTVwn']"
5,['Incredibly proud of my brother’s USC commencement speech. These words really show you why this man is a great leader and visionary business partner!! Love you bro and keep going. #MoreThan  https://t.co/jCWUPaNWJI']
5,['RT @NBCTheWall: Summer is looking green! 💵 \n\n#NBCTheWall is back for a third season June 20 on @NBC. https://t.co/sf9vRbVmBx']
5,['Best 2 words in sports!! I’ll say it again and again and again! GAME 7']
5,['🖐🏾‼️‼️‼️‼️‼️‼️‼️🗣']
5,['Oh and you know my favorite play was that chase down block! ✋🏾']
5,['@CJMcCollum Way to cook sauce bro! 330 boys is different! Congrats 🙏🏾']
5,['🤣🤣🤣🤣🤣🤣‼️‼️‼️‼️ https://t.co/zSkrb6fEoi']
5,['FACTS!! I just said that bro 🤦🏾\u200d♂️ https://t.co/jjKTlpKqjy']
5,['When y’all want to talk REAL basketball let me know. 😁']
5,['@CJMcCollum showed you exactly that! #330 Boyz something different! Congrats bro ✊🏾']
5,"['That’s exactly why I don’t wanna hear all that analytics talk! In PLAYOFF games when it usually come down to 1/2 possession games down the stretch, just get me bucket! The best shot during that possession. And if it’s a Pull-up 2 then so be it cause it was the best SHOT!']"
5,['Adorable!! ❤️. The best fútbol fans in the WORLD‼️‼️ #YWNWA https://t.co/cvcdmrZrQs']
5,['That 330 kid cooking right now!']
5,['#MoreThanAnAthlete CONGRATULATIONS my brother!!!! 👏🏾 https://t.co/PQUrh4Lgtm']
5,['NEVER underestimate the heart of a Champion‼️‼️']
5,"['RT @uninterrupted: ""What happens if you refuse to play it safe? What happens if you ignore everyone trying to box you in?""\n\n@mavcarter chal…']"
5,['RT @IPROMISESchool: We’re shook. 😱\n\n@kingjames &amp; @DICKS Foundation just told us they’re building us a new gym! \U0001f92f😭 https://t.co/zxFMVSUor2']
5,['RT @IPROMISESchool: Happy #TeacherAppreciationWeek from @kingjames ❤️ #WeAreFamily #IPROMISE https://t.co/PGoSqRedbJ']
5,['Beasts of the Northeast!! Thank you @Akbar_Gbaja &amp; @NinjaWarrior for turning our promise keepers into ultimate ninja warriors!! And shoutout to my guy Geonté\nfor almost breaking that 12 ft warped wall record 💪🏾💪🏾 we’ll run it back don’t worry https://t.co/2B1wS64Pb3']
5,['RT @IPROMISESchool: Has May ever looked this good!? 💅\n \nThank you to the incredible nail technicians for your time &amp; making 60 of our girls…']
5,['👏🏾‼️‼️‼️‼️‼️‼️ AMAZING NIGHT FOR THE REDS. WOW‼️‼️ #YNWA❤️ https://t.co/n9tuwtaj8z']
5,['#40Days got us all ready for this moment!! Fight time @uninterrupted @dazn_usa 💪🏾 🥊 https://t.co/4cUMQ0odQy']
5,['RT @SpringHillEnt: #10DaysOfAli in honor of the May 14th @hbo premiere 🥊#WhatsMyName | @MuhammadAli https://t.co/FxEdlpfQtC']
5,['RT @uninterrupted: TONIGHT: @KingJames. @Pharrell. @trvisXX. @DonCheadle. @Sethrogen. @pr_RWTW. @ZO2_ . @DeAndreHopkins. @mavcarter. #Jimmy…']
5,['RT @SpringHillEnt: .@KingJames &amp; @MavCarter: 50 Agents of Change Empowering Diverse Voices in Hollywood https://t.co/aT2clQpCEo via @THR']
5,['This is exactly why we do it.  Thank you to everyone at SH and UN‼️  This is YOU‼️ \u2066@SpringHillEnt\u2069 \u2066@uninterrupted\u2069 🙏🏾 https://t.co/1erxfbhqiH']
5,['🙏🏾👑 https://t.co/YvL4fODsBe']
5,['*not']
5,['Let me know forget Malik Beasley too cause he always rock the Bron’s too. Loves the 15s. 🙏🏾👑']
5,['Think I’m gone do a Q&amp;A sometime this week. Stay tuned. 🤔👑']
5,['Wouldn’t mind seeing Daniel Craig in them in 007 movie as well! 😉']
5,"['Torrey Craig, Moe Harkless, Meyers Leonard all rocking the “Martin” LeBron 16 on court tonight! Still so surreal to see on and off the court man! #BlessedAndHonored🙏🏾👑']"
5,['Rest in Paradise JOHN SINGLETON aka LEGEND!!! 🙏🏾👑💯 https://t.co/vm9po0PsjC']
5,['Meyers stay with the Bron’s🔥🌊‼️‼️ #TeamLeBron👑 https://t.co/akPaJa16c2']
5,['My Guy Killa!!!! Always my guy 🤜🏾🤛 https://t.co/scnlLPQDEL']
5,['😤\U0001f92b😉👑‼️‼️‼️ https://t.co/ejXXlpmihk']
5,['🖐🏾']
5,['Always good seeing and bumping into my OG @rod_strickland‼️‼️']
5,['Major S/O @TeamLou23 @patbev21 @MONSTATREZZ‼️‼️ Straight up DOGS 😤. Salute 🙏🏾']
5,['Let’s go Reds!! @LFC 🔴🇺🇸⚽️🇺🇸🔴 https://t.co/jpKL4b9svS']
5,['RT @JimmySpencerUN: .@TheKylerMurray is the No. 1 pick. He’s also @uninterrupted #MoreThanAnAthlete ! https://t.co/T2SKSUu6u8']
5,['@joshhart Definitely rooting for @dh_simba7 that’s for sure!! Hope all who passed on him pay for it but I ain’t rooting with your skins. No way Jose my friend! Lol']
