user,tweet
6,['I’m very excited to bring Haus history to Las Vegas at #HausOfGagaLV at @parkmgm curated by @formichetti! The experience opens at 12pm tomorrow 👛👠💅💕 https://t.co/4KgBRZ1Des']
6,['#HausOfGagaLV May 30th only at @parkmgm 💋 https://t.co/AOlq2iGZg2']
6,['🎺 See u in Vegas Brian! ♠️♥️♣️♦️ https://t.co/KGB86xMdGX']
6,['RT @SIRIUSXM: We’re making history on June 24th when @ladygaga takes the stage at the @ApolloTheater. SiriusXM + @pandoramusic: Just anothe…']
6,['RT @starisbornmovie: Congratulations to @ladygaga on her nomination for Best Performance In A Movie at this year’s MTV Movie &amp; TV Awards. C…']
6,"['I’m so proud of @momgerm for being asked to serve as Goodwill Ambassador for @WHO. The goal of @btwfoundation is to bring awareness to mental health and empower everyone to create a kinder and braver world, and this is a huge part of that 💕 https://t.co/7qNJfad4u3']"
6,['#AlabamaAbortionBan #Alabama #AlabamaSenate #NoUterusNoOpinion #PlannedParenthood #ProChoice I love you Alabama prayers to all women and young girls here are my thoughts: https://t.co/LqmVyV8qsA']
6,['“Camp is a part of who we are. It’s not something that we have to try to be.” Watch the full video on @VogueMagazine! https://t.co/8AY3EOd0yQ #hausofgaga #metgala #metgaga https://t.co/6CrPgPHXMe']
6,"['#METGALA #METGAGA 4️⃣\n📸 Jamie McCarthy, Dimitrios Kambouris @GettyImages https://t.co/PRTcxLCLtt']"
6,['#METGALA #METGAGA 3️⃣\n📸 John Shearer @GettyImages https://t.co/Q0w9vS650h']
6,['#METGALA #METGAGA 2️⃣\n📸 Dia Dipasupil @GettyImages https://t.co/UBFkfjt9HC']
6,['#METGALA #METGAGA 1️⃣ https://t.co/CE4fBycUhX']
6,['#MetGala #Fashion #Camp #SusanSontag #NotesOnCamp https://t.co/pEy4o3hzcr']
6,['WERK! #MetGala #LadyGaga #Gaga #BrandonMaxwell #AnnaWintour https://t.co/lC5g8m0rzX']
6,['. @ladygaga X @Brandonmaxwell  #MetGala #fashion #camp #hausparty #hausofgaga https://t.co/RYXbAuhugy']
6,['😭 thank u Karlie see u tonight 💞 https://t.co/BpNO3dRmXd']
6,"[""I’m so proud of my mom for joining #MIGlobal this year with the mission of calling on ALL of us to speak more about mental health and support each other. I'm so grateful for @momgerm every single day 💗 Follow her and read her beautiful words https://t.co/xQfkbPVnKA https://t.co/yexYzjeIO3""]"
6,['Thank u so much 💞 @iheartradio https://t.co/80IqmcZOQh']
6,"['Rumors I’m pregnant? Yeah, I’m pregnant with #LG6']"
6,['.@momgerm! I celebrate and honor her for #InternationalWomensDay (and every day) for helping me lead @BTWFoundation to create a movement to increase awareness around mental wellness and decrease stigma through programs like #teenMHFA 💝 Who do YOU celebrate? #SheInspiresMe https://t.co/BstS49NVCS']
6,"[""RT @BTWFoundation: Thank you @ClassicJpow for sharing your story and why we NEED #teenMHFA. We're almost to our goal, please consider donat…""]"
6,['I can’t believe the soundtrack and “Shallow” are number one this week 😭 I couldn’t be more proud of this film and the entire team behind it. Thank u so much. 🌟 https://t.co/CfmmNSH1P8']
6,"['We’re halfway to our goal! Please consider contributing to @btwfoundation to celebrate 7 years and be part of what’s next. Every dollar raised will go to #teenMHFA, which teaches young people how to help their peers through mental health crises 💗 https://t.co/wpkzcm1qti']"
6,['RT @OlympicChaz: . @MarkRonson intros @theebillyporter ‘s astounding performance of @ladygaga ‘s ‘Shallow’ at the 6th Annual @GoldMeetsGold…']
6,"['Celebrate @btwfoundation’s 7th anniversary 💪 We’re proud to work with young people to build the kinder, braver world they deserve. Join us to celebrate 7 years of prioritizing wellness &amp; kindness, and contribute to our future! https://t.co/wpkzcm1qti https://t.co/o0kt437ATK']"
6,['🌟 Get Jackson &amp; Ally merch at a special price for a limited time https://t.co/75Ja26rNTp 🌟']
6,['In celebration of A STAR IS BORN ENCORE 🌟 get the official soundtrack on @amazonmusic for $2.99 today only! https://t.co/jTocmXj8ue https://t.co/xFdDPrqGIf']
6,"['RT @starisbornmovie: The film that everyone is talking about, returns to theaters. Experience #AStarIsBorn Encore for one week only beginni…']"
6,['RT @Interscope: Get the #AStarIsBorn Soundtrack for $3.99 on @amazonmusic. https://t.co/g4xDg5i2cz https://t.co/oL21ycA32J']
6,['❤️ u Jimmy! Tune in tonight! https://t.co/dMlEzdEMr4']
6,['RT @jimmykimmel: Oscar winner @LadyGaga on #Kimmel TONIGHT! #AStarIsBorn #Shallow #LittleMonsters https://t.co/kNIF7GlHC8']
6,['Shallow 🌟 https://t.co/LGaYoelaKv']
6,"['A moment in my life I will never forget. My whole artistic journey flashed before my eyes. Thank you to the Academy and to the gentlemen who wrote and performed this song with me. 📸 Mark Seliger, @VanityFair https://t.co/isLoIjLUGC']"
6,['Nothing could be more special than sharing this moment at the Oscars with a true friend and artistic genius. https://t.co/Khy9ooCJDZ']
6,['#Oscars 🌟 https://t.co/c0SWKDBqex']
6,['Watch #AStarIsBorn on @iTunes now 🌟 https://t.co/nNIj2MPHvj https://t.co/nNC6hb5vqC']
6,"['Happy Valentine’s Day. A tattoo toast to “la vie en rose” by the beautiful Winterstone my spinal cord is now a rose...plus I got my name, written in music 🖤matching my bestie and manager @bobby_campbell https://t.co/KMNkxuqlkO']"
6,['Musical crisis averted. Too many tequilas forgot the fifth staff line poor thing. Here’s the real deal 😎 #GAGA https://t.co/PvcL74x1NS']
6,"['It is so hard to be a woman in this industry. What it takes, how hard we work through the disrespectful challenges, just to make art. I love you Cardi. You deserve your awards. Let’s celebrate her fight. Lift her up &amp; honor her. She is brave. https://t.co/lunY27vn3E']"
6,['RT @aliciakeys: I feel ultimate gratitude and deeply supported AND LOVED by these women @jadapsmith @MichelleObama @JLo @ladygaga. The desi…']
6,"['😭❤️a Grammy for Joanne is more than me &amp; my family could ever dream of. I sang that version in one take, &amp; poured my entire life &amp; soul into it. Thank you so much for this gift I am completely shocked. 2nd Grammy win of the night I am so overwhelmed by this kindness. #grammys🎼']"
6,['I’m not gonna be able to wear any makeup tonight. We just won our first of Grammy nominations for the night. I’m in tears with honor and gratitude. Thank you @RecordingAcad #Grammys #Grammy and my co-writers and Bradley I love you so much thank you 😭❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️']
